,V1,p_cases,p_cases_error,p_fatalities,p_fatalities_error,p_recentcases,p_recentcases_error,p_cases_daily,p_cases_daily_error,p_stillsick,p_stillsick_error,region,country
1,1,0.0607685950344898,0.00973130104632723,0.00256509924195847,0.00227096724242215,NA,NA,NA,NA,NA,NA,Andalucía,Spain
2,2,0.0711029025218028,0.0144363356502934,0.0724108327985433,0.0919510157955384,NA,NA,NA,NA,NA,NA,Aragón,Spain
3,3,0.062208205462539,0.00711620058126406,0.000466200466200466,0.00064580772245326,NA,NA,NA,NA,NA,NA,Asturias,Spain
4,4,0.0379178389825276,0.00657700740867158,0.00192917192961015,0.00134228146210885,NA,NA,NA,NA,NA,NA,Canarias,Spain
5,5,0.0281543869066388,0.00525624551918571,0,0,NA,NA,NA,NA,NA,NA,Cantabria,Spain
6,6,0.078240287014385,0.0137562994148955,0.00637953530958809,0.00399599989506183,NA,NA,NA,NA,NA,NA,Castilla y Leon,Spain
7,7,0.111810983707829,0.0140266753509521,0.0137353526382241,0.0148222449615363,NA,NA,NA,NA,NA,NA,Castilla - La Mancha,Spain
8,8,0.0981623922935172,0.00988758406727489,0.0148303344134605,0.00419289914396365,NA,NA,NA,NA,NA,NA,Catalonia,Spain
9,9,0.0696111273161542,0.0111327147271927,0.00316609544645479,0.0021829130720424,NA,NA,NA,NA,NA,NA,Extremadura,Spain
10,10,0.0453773864688981,0.00840237513918926,0.00267108244160568,0.00350512004539156,NA,NA,NA,NA,NA,NA,Galicia,Spain
11,11,0.0528864624406026,0.00652936089801755,0.00718569065343259,0.00622235162113833,NA,NA,NA,NA,NA,NA,Baleares,Spain
12,12,0.07367102391304,0.0117298836576777,0,0,NA,NA,NA,NA,NA,NA,La Rioja,Spain
13,13,0.192636118661551,0.0104577559720279,0.0175904195086884,0.00353194594201479,NA,NA,NA,NA,NA,NA,Madrid,Spain
14,14,0.0198155253859714,0.00395493521334601,0.00242736054646807,0.00335994144047166,NA,NA,NA,NA,NA,NA,Murcia,Spain
15,15,0.0495091636478504,0.00653145177652315,0.00125647273834908,0.00246103904511968,NA,NA,NA,NA,NA,NA,Navarra,Spain
16,16,0.0685110016498322,0.0104835104468048,0.00264527788209929,0.00255416680121264,NA,NA,NA,NA,NA,NA,País Vasco,Spain
17,17,0.0526270347394592,0.00689706166000356,0.00268466957222054,0.0016099171606604,NA,NA,NA,NA,NA,NA,Valencia,Spain
18,18,0.0410141685309471,0.0218812960810788,0.0181818181818182,0.0220577437544834,NA,NA,NA,NA,NA,NA,Ceuta,Spain
19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melilla,Spain
